"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","Comp"
73,34,10.4054118621223,80.8662093377655,-30.5351781167528,33.7028171112723,11.2941176470588,12.3957219251337,-30.1470588235294,13.644385026738,0.036047901827012,1,16,0.235294117647059,0.470588235294118,1,"intruders competitively superior"
74,41,8.74105232743476,53.7180993446885,-28.8650665627618,59.4633046737441,11.390243902439,16.4939024390244,-29.8292682926829,8.14512195121951,0.287446044250515,1,13,0.158536585365854,0.317073170731707,1,"intruders competitively superior"
75,38,12.2658486406202,57.0249981024738,-29.0249371526459,39.65833441913,11.9210526315789,13.9665718349929,-30.1842105263158,9.01920341394026,-0.136182748218742,1,19,0.25,0.5,1,"intruders competitively superior"
76,44,12.1463507519747,36.1761057217024,-30.1758790482357,55.4947143134433,12.5681818181818,14.8557082452431,-29.8863636363636,10.242600422833,-0.0392913008386046,1,10,0.113636363636364,0.227272727272727,1,"intruders competitively superior"
77,35,10.6656653332998,64.7318548956331,-31.2859251246242,48.2933836220347,11.8857142857143,15.5747899159664,-30.1142857142857,13.927731092437,-0.0887792242914035,1,14,0.2,0.4,1,"intruders competitively superior"
78,39,10.9862052865625,44.6875220425941,-28.7017279650399,55.2470836433037,11.4358974358974,8.83130904183536,-29.3333333333333,9.17543859649123,-0.0828300867942355,1,12,0.153846153846154,0.307692307692308,1,"intruders competitively superior"
79,37,11.717194712228,57.2036441071696,-27.6579364597331,40.2290567739417,12,12.0555555555556,-29.2702702702703,7.2027027027027,-0.342810393463681,1,20,0.27027027027027,0.540540540540541,1,"intruders competitively superior"
80,45,13.5763109555384,61.1405342947924,-30.0914973354794,33.0036752156326,12.2,15.9818181818182,-29.1333333333333,7.52727272727273,0.014919281258062,1,11,0.122222222222222,0.244444444444444,1,"intruders competitively superior"
81,36,11.5009008045052,37.6407432008526,-28.2949470664037,49.4491024326045,11.7222222222222,15.8063492063492,-29.3611111111111,10.9230158730159,0.316137565494957,1,13,0.180555555555556,0.361111111111111,1,"intruders competitively superior"
82,38,13.3973706322468,71.2691430212276,-28.755226381329,35.4210498335531,11.8947368421053,13.50213371266,-28.8684210526316,10.9281650071124,-0.203525871407847,1,16,0.210526315789474,0.421052631578947,1,"intruders competitively superior"
83,41,12.3966216852132,47.2746734464798,-30.1100179796887,57.8250655499844,11.9512195121951,9.59756097560976,-28.6341463414634,13.4378048780488,-0.141479060167152,1,18,0.219512195121951,0.439024390243902,1,"intruders competitively superior"
84,43,12.3073964832685,46.0905671601252,-29.772865468458,58.0703357531738,12.1162790697674,11.6290143964563,-28.7209302325581,16.063122923588,0.0968668962682256,1,23,0.267441860465116,0.534883720930233,1,"intruders competitively superior"
85,48,13.1442543522768,58.707026444686,-28.4590474864985,37.5448645677949,12.3958333333333,13.6910460992908,-29,7.65957446808511,0.0831077444307099,1,16,0.166666666666667,0.333333333333333,1,"intruders competitively superior"
86,41,11.4798155420885,120.978053012199,-29.8016251486936,40.980674072954,13.1219512195122,20.259756097561,-29.4878048780488,8.25609756097561,-0.0880701040325034,1,17,0.207317073170732,0.414634146341463,1,"intruders competitively superior"
87,42,11.685455597814,64.9130827179493,-27.6899463341203,25.7779097271082,12.8809523809524,12.9854819976771,-28.2619047619048,8.44192799070848,0.10876635826358,1,22,0.261904761904762,0.523809523809524,1,"intruders competitively superior"
88,47,11.7784581251535,49.1470790094012,-29.8018373664938,37.5053119098119,13.0851063829787,13.2969472710453,-28.6382978723404,9.75763182238668,0.140376853318004,1,27,0.287234042553192,0.574468085106383,1,"intruders competitively superior"
89,52,12.5077330242465,64.9559743525732,-27.698970584615,48.3123394037338,12.8653846153846,12.4717194570136,-27.9807692307692,13.5486425339367,0.114842046528591,1,24,0.230769230769231,0.461538461538462,1,"intruders competitively superior"
90,49,12.1589964671632,68.8196276668907,-28.5744892503432,62.9471735280892,12.4081632653061,13.8299319727891,-29.2448979591837,13.8137755102041,0.269648451111124,1,20,0.204081632653061,0.408163265306122,1,"intruders competitively superior"
91,45,11.9186514831213,56.465092652787,-29.9766850336787,48.2966499197563,11.8888888888889,18.7373737373737,-30.0888888888889,12.4010101010101,0.199125276308635,1,21,0.233333333333333,0.466666666666667,1,"intruders competitively superior"
92,46,11.5127611260662,60.3118485993904,-29.3570056941645,46.0548841482457,12.0434782608696,13.3314009661836,-29.8260869565217,13.1246376811594,0.180854256094393,1,21,0.228260869565217,0.456521739130435,1,"intruders competitively superior"
93,46,10.403820560483,71.844553524282,-29.6557937949594,41.6019025095008,11.804347826087,16.9164251207729,-29.3260869565217,11.7357487922705,0.0158745326290753,1,23,0.25,0.5,1,"intruders competitively superior"
94,48,13.6949634698513,58.6065781213979,-29.2444442835141,42.7523385863139,12.4583333333333,17.9556737588652,-28.7083333333333,9.57269503546099,-0.106162854677098,1,14,0.145833333333333,0.291666666666667,1,"intruders competitively superior"
95,39,14.1504383109595,53.1453441986002,-30.343046306225,34.4034040059905,12.5384615384615,14.9919028340081,-30.2051282051282,9.48313090418354,0.06026943941228,1,17,0.217948717948718,0.435897435897436,1,"intruders competitively superior"
96,42,15.3152902412202,81.9634968942489,-29.5722651978102,41.9770122456531,13.3809523809524,19.7049941927991,-30.2142857142857,10.2212543554007,-0.193465739279719,1,14,0.166666666666667,0.333333333333333,1,"intruders competitively superior"
97,39,14.3062655314394,81.2794787040527,-28.3073370367092,59.7030444923737,13.1794871794872,24.1511470985155,-29.025641025641,12.7624831309042,0.204122851077459,1,20,0.256410256410256,0.512820512820513,1,"intruders competitively superior"
98,45,13.2283847510635,49.9170231908434,-28.1928289643951,35.2010173476135,12.7333333333333,14.7454545454545,-29.4444444444444,13.0707070707071,0.210637043428829,1,20,0.222222222222222,0.444444444444444,1,"intruders competitively superior"
99,45,12.7337299242419,59.2929596802672,-29.8453074008913,42.7134919711852,12.6,17.9727272727273,-29.5111111111111,11.8464646464646,0.0339548990555059,1,24,0.266666666666667,0.533333333333333,1,"intruders competitively superior"
100,49,12.0820608401776,58.5461334396565,-28.9955299905797,33.775055811346,12.4489795918367,18.7108843537415,-28.8367346938776,17.3061224489796,-0.0585722848771402,1,25,0.255102040816327,0.510204081632653,1,"intruders competitively superior"
101,50,9.98004574925399,40.7518336182847,-28.9080822604303,43.7682774347365,11.16,15.4840816326531,-29.1,9.60204081632653,-0.150968367044821,1,22,0.22,0.44,1,"intruders competitively superior"
102,47,10.9805490898975,52.1715595217885,-29.1908398197568,38.3934530402822,10.8723404255319,11.6355226641998,-29.7659574468085,9.96577243293247,-0.1788572710179,1,16,0.170212765957447,0.340425531914894,1,"intruders competitively superior"
103,41,12.92577766,57.488345810199,-32.6416067946697,41.4760339896887,12.5365853658537,14.5048780487805,-30.9268292682927,10.669512195122,-0.0414174672910562,1,20,0.24390243902439,0.48780487804878,1,"intruders competitively superior"
104,45,12.9541827145203,49.1185589827072,-29.5519629042121,48.7288001555171,13.4,13.4727272727273,-30.0444444444444,11.0434343434343,-0.100987303025984,1,12,0.133333333333333,0.266666666666667,1,"intruders competitively superior"
105,37,11.1351282564199,66.6767768749144,-28.1950425480525,46.8040388184965,11.5675675675676,11.5855855855856,-29.2702702702703,12.5915915915916,-0.055942127052346,1,19,0.256756756756757,0.513513513513513,1,"intruders competitively superior"
106,44,12.2159418541215,65.0172844806857,-29.4658297690081,35.5500364875691,12.2272727272727,13.2494714587738,-29.7954545454545,5.14323467230444,-0.0959120633566752,1,20,0.227272727272727,0.454545454545455,1,"intruders competitively superior"
107,45,11.6448949473044,59.1485037302823,-29.1290712852779,26.5176261800691,11.0888888888889,15.3555555555556,-29.4888888888889,9.25555555555556,0.276342813858581,1,24,0.266666666666667,0.533333333333333,1,"intruders competitively superior"
108,49,12.6815764198772,81.9716490124908,-30.8616285484626,48.9272588314332,11.8775510204082,16.6930272108844,-29.4081632653061,11.3715986394558,-0.319731955761504,1,22,0.224489795918367,0.448979591836735,1,"intruders competitively superior"
109,47,11.7454501858871,62.3067717610295,-29.9044150673573,62.970959120749,13.2978723404255,11.6919518963922,-28.4042553191489,13.4199814986124,0.190313350915214,1,22,0.234042553191489,0.468085106382979,1,"intruders competitively superior"
110,47,14.1073390547552,61.4829752433008,-27.4144046315378,46.3412203470047,12.7021276595745,15.6484736355227,-28.2127659574468,9.25809435707678,-0.158899683307491,1,19,0.202127659574468,0.404255319148936,1,"intruders competitively superior"
111,44,12.9160006875416,53.3571185856888,-30.1697775417201,47.3974827759164,12.6590909090909,9.90433403805497,-29,8.83720930232558,0.300778441478327,1,19,0.215909090909091,0.431818181818182,1,"intruders competitively superior"
112,44,11.869806213937,53.0033110260206,-28.7680421777855,58.7675627115123,11.8409090909091,10.2299154334038,-29.8181818181818,8.05919661733615,-0.0556486794333286,1,18,0.204545454545455,0.409090909090909,1,"intruders competitively superior"
113,43,14.0222260494441,55.1313378960223,-30.5207361553897,41.4200371239157,13.906976744186,13.3720930232558,-29.0697674418605,11.3045404208195,0.175683936603369,1,13,0.151162790697674,0.302325581395349,1,"intruders competitively superior"
114,38,12.9714571167526,75.8799210402336,-29.6361519894604,49.1621249684561,12.5526315789474,8.68634423897582,-30.0526315789474,9.34850640113798,0.12628304023721,1,7,0.0921052631578947,0.184210526315789,1,"intruders competitively superior"
115,32,10.8946341611716,67.7057045211709,-31.2656738656287,62.5395567073548,12.1875,15.4475806451613,-29.6875,11.383064516129,-0.218633836320564,1,11,0.171875,0.34375,1,"intruders competitively superior"
116,36,13.2156202943065,56.9818101921548,-30.2037974154007,40.1323493139456,11.4166666666667,16.8785714285714,-30.6111111111111,10.4730158730159,-0.0813023012861447,1,15,0.208333333333333,0.416666666666667,1,"intruders competitively superior"
117,40,10.4707550974968,51.165808996433,-29.2173165688313,44.7410402885799,11.4,19.1179487179487,-30.15,10.1820512820513,-0.203260146267261,1,16,0.2,0.4,1,"intruders competitively superior"
118,41,12.8789218402056,73.9089378202259,-30.6395748247179,45.4161752349921,11.9024390243902,18.140243902439,-30.5609756097561,16.1024390243902,0.0288983986744662,1,16,0.195121951219512,0.390243902439024,1,"intruders competitively superior"
119,41,12.9302542060889,44.0547767868992,-29.9204523281639,45.4358918129667,13,10,-30.1707317073171,17.5951219512195,-0.0395788492297182,1,15,0.182926829268293,0.365853658536585,1,"intruders competitively superior"
120,40,12.0821706958104,32.7227070411094,-30.9802370220431,42.818592745948,12.65,9.92564102564103,-30.725,10.4096153846154,-0.285425865989873,1,13,0.1625,0.325,1,"intruders competitively superior"
121,38,13.242282229966,42.8911294176058,-30.5593580695719,55.5608506618486,12.0526315789474,12.1593172119488,-30.1052631578947,16.4210526315789,-0.00916074884564587,1,29,0.381578947368421,0.763157894736842,1,"intruders competitively superior"
122,54,11.2194107770441,58.8659946298592,-27.8843529478163,54.7245272891942,12.3333333333333,11.9245283018868,-28.8148148148148,15.549965059399,-0.100225284204132,1,26,0.240740740740741,0.481481481481481,1,"intruders competitively superior"
123,51,12.5363087333849,42.4232349531078,-28.4824350581318,31.1484822218016,11.9411764705882,12.7764705882353,-29.1764705882353,13.7082352941176,-0.278868440556896,1,23,0.225490196078431,0.450980392156863,1,"intruders competitively superior"
